Sample,Population
HG00403,CHS
HG00404,CHS
HG00406,CHS
HG00407,CHS
HG00409,CHS
HG00410,CHS
HG00419,CHS
HG00421,CHS
HG00422,CHS
HG00428,CHS
HG00436,CHS
HG00437,CHS
HG00442,CHS
HG00443,CHS
HG00445,CHS
HG00446,CHS
HG00448,CHS
HG00449,CHS
HG00451,CHS
HG00452,CHS
HG00457,CHS
HG00458,CHS
HG00463,CHS
HG00464,CHS
HG00472,CHS
HG00473,CHS
HG00475,CHS
HG00476,CHS
HG00478,CHS
HG00479,CHS
HG00500,CHS
HG00513,CHS
HG00524,CHS
HG00525,CHS
HG00530,CHS
HG00531,CHS
HG00533,CHS
HG00534,CHS
HG00536,CHS
HG00537,CHS
HG00542,CHS
HG00543,CHS
HG00556,CHS
HG00557,CHS
HG00559,CHS
HG00560,CHS
HG00565,CHS
HG00566,CHS
HG00580,CHS
HG00581,CHS
HG00583,CHS
HG00584,CHS
HG00589,CHS
HG00590,CHS
HG00592,CHS
HG00593,CHS
HG00595,CHS
HG00596,CHS
HG00598,CHS
HG00599,CHS
HG00607,CHS
HG00608,CHS
HG00610,CHS
HG00611,CHS
HG00613,CHS
HG00614,CHS
HG00619,CHS
HG00620,CHS
HG00622,CHS
HG00623,CHS
HG00625,CHS
HG00626,CHS
HG00628,CHS
HG00629,CHS
HG00631,CHS
HG00632,CHS
HG00634,CHS
HG00650,CHS
HG00651,CHS
HG00653,CHS
HG00654,CHS
HG00656,CHS
HG00657,CHS
HG00662,CHS
HG00663,CHS
HG00671,CHS
HG00672,CHS
HG00674,CHS
HG00675,CHS
HG00683,CHS
HG00684,CHS
HG00689,CHS
HG00690,CHS
HG00692,CHS
HG00693,CHS
HG00698,CHS
HG00699,CHS
HG00701,CHS
HG00704,CHS
HG00705,CHS
HG00707,CHS
HG00708,CHS
HG00717,CHS
HG00728,CHS
HG00729,CHS
HG01595,KHV
HG01596,KHV
HG01597,KHV
HG01598,KHV
HG01599,KHV
HG01600,KHV
HG01840,KHV
HG01841,KHV
HG01842,KHV
HG01843,KHV
HG01844,KHV
HG01845,KHV
HG01846,KHV
HG01847,KHV
HG01848,KHV
HG01849,KHV
HG01850,KHV
HG01851,KHV
HG01852,KHV
HG01853,KHV
